TournamentId	GameId	TournamentName	StartDate	EndDate	Location	Teamplay	TotalUSDPrize	Country
1027	151	MLG Providence 2011 (StarCraft II)	2011-11-18	2011-11-20	Providence, Rhode Island, USA	0	120000.00	USA
1028	151	2011 MLG North American Invitational	2011-09-13	2011-10-27	Online (North America)	0	3750.00	Online
1029	151	2011 MLG European Invitational	2011-09-15	2011-11-10	Online (Europe)	0	3750.00	Online
1030	151	2011 MLG Korean Invitational	2011-09-20	2011-10-28	Online (South Korea)	0	3750.00	Online
1031	151	2011 MLG Global Invitational Grand Finals	2011-11-18	2011-11-18	Providence, Rhode Island	0	4000.00	USA
1032	156	MLG Dallas 2011 (Halo: Reach)	2011-04-01	2011-04-03	Dallas, Texas, USA	1	56000.00	USA
1033	156	MLG Columbus 2011 (Halo: Reach)	2011-06-03	2011-06-05	Columbus, Ohio, USA	1	56000.00	USA
1034	151	IEM VI - Cologne (StarCraft II)	2011-08-17	2011-08-21	Cologne, Germany	0	21000.00	Germany
1035	151	IEM VI - Guangzhou (StarCraft II)	2011-10-01	2011-10-05	Guangzhou, China	0	21000.00	China
1036	151	IEM VI - New York (StarCraft II)	2011-10-13	2011-10-16	New York City, NY, USA	0	21000.00	USA
1037	151	IEM VI - Kiev (StarCraft II)	2012-01-19	2012-01-22	Kiev, Ukraine	0	21000.00	Ukraine
1038	151	IEM VI - Sao Paulo (StarCraft II)	2012-02-08	2012-02-11	Sao Paulo, Brazil	0	21000.00	Brazil
1039	151	NASL Season 1	2011-04-12	2011-07-10	Online / Los Angeles, California, USA	0	100000.00	Online
1040	151	NASL Season 2 (Starcraft II)	2011-08-30	2011-12-04	Online / Ontario, California, USA	0	100000.00	Online
1041	151	TSL 3	2011-03-19	2011-05-15	Online / New York City, NY, USA	0	34500.00	Online
1042	151	HomeStory Cup #1	2010-09-11	2010-09-12	Krefeld, Germany	0	635.74	Germany
1043	151	HomeStory Cup #2	2011-01-15	2011-01-16	Krefeld, Germany	0	3748.93	Germany
1044	151	HomeStory Cup #3	2011-06-23	2011-06-26	Krefeld, Germany	0	5322.16	Germany
1045	151	HomeStory Cup #4	2012-01-05	2012-01-08	Krefeld, Germany	0	15000.00	Germany
1046	151	ZOTAC Cup Starcraft II #1 (EU)	2010-02-28	2010-02-28	Online (Europe)	0	136.18	Online
1047	151	ZOTAC Cup Starcraft II #2 (EU)	2010-03-07	2010-03-07	Online (Europe)	0	136.24	Online
1048	151	ZOTAC Cup Starcraft II #3 (EU)	2010-03-14	2010-03-14	Online (Europe)	0	137.69	Online
1049	151	ZOTAC Cup Starcraft II #4 (EU)	2010-03-21	2010-03-21	Online (Europe)	0	135.34	Online
1050	151	ZOTAC Cup Starcraft II #5 (EU)	2010-03-28	2010-03-28	Online (Europe)	0	134.22	Online
1051	151	ZOTAC Cup Starcraft II #6 (EU)	2010-04-04	2010-04-04	Online (Europe)	0	135.02	Online
1052	151	ZOTAC Cup Starcraft II #7 (EU)	2010-04-11	2010-04-11	Online (Europe)	0	134.96	Online
1053	151	ZOTAC Cup Starcraft II #8 (EU)	2010-04-18	2010-04-18	Online (Europe)	0	135.94	Online
1054	151	ZOTAC Cup Starcraft II #9 (EU)	2010-04-25	2010-04-25	Online (Europe)	0	133.84	Online
1055	151	ZOTAC Cup Starcraft II #10 (EU)	2010-05-02	2010-05-02	Online (Europe)	0	132.90	Online
1056	151	ZOTAC Cup Starcraft II #11 (EU)	2010-05-09	2010-05-09	Online (Europe)	0	127.33	Online
1057	151	ZOTAC Cup Starcraft II #12 (EU)	2010-05-16	2010-05-16	Online (Europe)	0	123.80	Online
1058	151	ZOTAC Cup Starcraft II #13 (EU)	2010-05-30	2010-05-30	Online (Europe)	0	122.92	Online
1059	151	ZOTAC Cup Starcraft II #14 (EU)	2010-06-06	2010-06-06	Online (Europe)	0	119.69	Online
1060	151	ZOTAC Cup Starcraft II #15 (EU)	2010-07-11	2010-07-11	Online (Europe)	0	126.39	Online
1061	151	ZOTAC Cup Starcraft II #16 (EU)	2010-07-18	2010-07-18	Online (Europe)	0	129.29	Online
1062	151	ZOTAC Cup Starcraft II #17 (EU)	2010-08-08	2010-08-08	Online (Europe)	0	132.81	Online
1063	151	ZOTAC Cup Starcraft II #18 (EU)	2010-08-15	2010-08-15	Online (Europe)	0	127.57	Online
1064	151	ZOTAC Cup Starcraft II #19 (EU)	2010-08-22	2010-08-22	Online (Europe)	0	127.11	Online
1065	151	ZOTAC Cup Starcraft II #20 (EU)	2010-08-29	2010-08-29	Online (Europe)	0	127.67	Online
1066	151	ZOTAC Cup Starcraft II #21 (EU)	2010-09-05	2010-09-05	Online (Europe)	0	128.95	Online
1067	151	ZOTAC Cup Starcraft II #22 (EU)	2010-09-12	2010-09-12	Online (Europe)	0	127.15	Online
1068	151	ZOTAC Cup Starcraft II #23 (EU)	2010-09-19	2010-09-19	Online (Europe)	0	130.37	Online
1069	151	ZOTAC Cup Starcraft II #24 (EU)	2010-09-26	2010-09-26	Online (Europe)	0	134.87	Online
1070	151	ZOTAC Cup Starcraft II #25 (EU)	2010-10-03	2010-10-03	Online (Europe)	0	137.91	Online
1071	151	ZOTAC Cup Starcraft II #26 (EU)	2010-10-10	2010-10-10	Online (Europe)	0	139.15	Online
1072	151	ZOTAC Cup Starcraft II #27 (EU)	2010-10-17	2010-10-17	Online (Europe)	0	139.81	Online
1073	151	ZOTAC Cup Starcraft II #28 (EU)	2010-10-24	2010-10-24	Online (Europe)	0	139.54	Online
1074	151	ZOTAC Cup Starcraft II #29 (EU)	2010-10-31	2010-10-31	Online (Europe)	0	139.45	Online
1075	151	ZOTAC Cup Starcraft II #30 (EU)	2010-11-07	2010-11-07	Online (Europe)	0	140.67	Online
1076	151	ZOTAC Cup Starcraft II #31 (EU)	2010-11-14	2010-11-14	Online (Europe)	0	136.93	Online
1077	151	ZOTAC Cup Starcraft II #32 (EU)	2010-11-21	2010-11-21	Online (Europe)	0	136.80	Online
1078	151	ZOTAC Cup Starcraft II #33 (EU)	2010-11-28	2010-11-28	Online (Europe)	0	132.46	Online
1079	151	ZOTAC Cup Starcraft II #34 (EU)	2010-12-05	2010-12-05	Online (Europe)	0	133.68	Online
1080	151	ZOTAC Cup Starcraft II #35 (EU)	2010-12-12	2010-12-12	Online (Europe)	0	132.27	Online
1081	151	ZOTAC Cup Starcraft II #36 (EU)	2010-12-19	2010-12-19	Online (Europe)	0	131.51	Online
1082	151	ZOTAC Cup Starcraft II #37 (EU)	2011-01-02	2011-01-02	Online (Europe)	0	133.90	Online
1083	151	ZOTAC Cup Starcraft II #38 (EU)	2011-01-09	2011-01-09	Online (Europe)	0	129.06	Online
1084	151	ZOTAC Cup Starcraft II #39 (EU)	2011-01-16	2011-01-16	Online (Europe)	0	133.89	Online
1085	151	ZOTAC Cup Starcraft II #40 (EU)	2011-01-23	2011-01-23	Online (Europe)	0	136.20	Online
1086	151	ZOTAC Cup Starcraft II #41 (EU)	2011-01-30	2011-01-30	Online (Europe)	0	136.07	Online
1087	151	ZOTAC Cup Starcraft II #42 (EU)	2011-02-06	2011-02-06	Online (Europe)	0	135.77	Online
1088	151	ZOTAC Cup Starcraft II #43 (EU)	2011-02-13	2011-02-13	Online (Europe)	0	135.47	Online
1089	151	ZOTAC Cup Starcraft II #44 (EU)	2011-02-20	2011-02-20	Online (Europe)	0	136.89	Online
1090	151	ZOTAC Cup Starcraft II #45 (EU)	2011-02-27	2011-02-27	Online (Europe)	0	137.46	Online
1091	151	ZOTAC Cup Starcraft II #46 (EU)	2011-03-06	2011-03-06	Online (Europe)	0	139.79	Online
1092	151	ZOTAC Cup Starcraft II #47 (EU)	2011-03-13	2011-03-13	Online (Europe)	0	138.99	Online
1093	151	ZOTAC Cup Starcraft II #48 (EU)	2011-03-20	2011-03-20	Online (Europe)	0	141.72	Online
1094	151	ZOTAC Cup Starcraft II #49 (EU)	2011-03-27	2011-03-27	Online (Europe)	0	140.75	Online
1095	151	ZOTAC Cup Starcraft II #50 (EU)	2011-04-03	2011-04-03	Online (Europe)	0	142.34	Online
1096	151	ZOTAC Cup Starcraft II #51 (EU)	2011-04-10	2011-04-10	Online (Europe)	0	144.85	Online
1097	151	ZOTAC Cup Starcraft II #52 (EU)	2011-04-17	2011-04-17	Online (Europe)	0	144.31	Online
1098	151	ZOTAC Cup Starcraft II #53 (EU)	2011-04-24	2011-04-24	Online (Europe)	0	145.59	Online
1099	151	ZOTAC Cup Starcraft II #54 (EU)	2011-05-01	2011-05-01	Online (Europe)	0	148.05	Online
1100	151	ZOTAC Cup Starcraft II #55 (EU)	2011-05-08	2011-05-08	Online (Europe)	0	143.06	Online
1101	151	ZOTAC Cup Starcraft II #56 (EU)	2011-05-15	2011-05-15	Online (Europe)	0	141.05	Online
1102	151	ZOTAC Cup Starcraft II #57 (EU)	2011-05-22	2011-05-22	Online (Europe)	0	141.61	Online
1103	151	ZOTAC Cup Starcraft II #58 (EU)	2011-05-29	2011-05-29	Online (Europe)	0	143.18	Online
1104	151	ZOTAC Cup Starcraft II #59 (EU)	2011-06-05	2011-06-05	Online (Europe)	0	146.34	Online
1105	151	ZOTAC Cup Starcraft II #60 (EU)	2011-06-12	2011-06-12	Online (Europe)	0	143.46	Online
1106	151	ZOTAC Cup Starcraft II #61 (EU)	2011-06-19	2011-06-19	Online (Europe)	0	143.07	Online
1107	151	ZOTAC Cup Starcraft II #62 (EU)	2011-06-26	2011-06-26	Online (Europe)	0	141.92	Online
1108	151	ZOTAC Cup Starcraft II #63 (EU)	2011-07-03	2011-07-03	Online (Europe)	0	145.23	Online
1109	151	ZOTAC Cup Starcraft II #64 (EU)	2011-07-10	2011-07-10	Online (Europe)	0	142.65	Online
1110	151	ZOTAC Cup Starcraft II #65 (EU)	2011-07-17	2011-07-17	Online (Europe)	0	141.50	Online
1111	151	ZOTAC Cup Starcraft II #66 (EU)	2011-07-24	2011-07-24	Online (Europe)	0	143.57	Online
1112	151	ZOTAC Cup Starcraft II #67 (EU)	2011-07-31	2011-07-31	Online (Europe)	0	143.93	Online
1113	151	ZOTAC Cup Starcraft II #68 (EU)	2011-08-07	2011-08-07	Online (Europe)	0	142.76	Online
1114	151	ZOTAC Cup Starcraft II #69 (EU)	2011-08-14	2011-08-14	Online (Europe)	0	142.44	Online
1115	151	ZOTAC Cup Starcraft II #70 (EU)	2011-08-21	2011-08-21	Online (Europe)	0	143.95	Online
1116	151	ZOTAC Cup Starcraft II #71 (EU)	2011-08-28	2011-08-28	Online (Europe)	0	144.96	Online
1117	151	ZOTAC Cup Starcraft II #72 (EU)	2011-09-04	2011-09-04	Online (Europe)	0	142.01	Online
1118	151	ZOTAC Cup Starcraft II #73 (EU)	2011-09-11	2011-09-11	Online (Europe)	0	136.54	Online
1119	151	ZOTAC Cup Starcraft II #74 (EU)	2011-09-18	2011-09-18	Online (Europe)	0	137.97	Online
1120	151	ZOTAC Cup Starcraft II #75 (EU)	2011-09-25	2011-09-25	Online (Europe)	0	134.96	Online
1121	151	ZOTAC Cup Starcraft II #76 (EU)	2011-10-02	2011-10-02	Online (Europe)	0	133.83	Online
1122	151	ZOTAC Cup Starcraft II #77 (EU)	2011-10-09	2011-10-09	Online (Europe)	0	133.75	Online
1123	151	ZOTAC Cup Starcraft II #78 (EU)	2011-10-16	2011-10-16	Online (Europe)	0	138.75	Online
1124	151	ZOTAC Cup Starcraft II #79 (EU)	2011-10-23	2011-10-23	Online (Europe)	0	138.94	Online
1125	151	ZOTAC Cup Starcraft II #80 (EU)	2011-10-30	2011-10-30	Online (Europe)	0	141.56	Online
1126	151	ZOTAC Cup Starcraft II #81 (EU)	2011-11-06	2011-11-06	Online (Europe)	0	137.95	Online
1127	151	ZOTAC Cup Starcraft II #82 (EU)	2011-11-13	2011-11-13	Online (Europe)	0	137.44	Online
1128	151	ZOTAC Cup Starcraft II #83 (EU)	2011-11-20	2011-11-20	Online (Europe)	0	135.23	Online
1129	151	ZOTAC Cup Starcraft II #84 (EU)	2011-11-27	2011-11-27	Online (Europe)	0	132.37	Online
1130	151	ZOTAC Cup Starcraft II #85 (EU)	2011-12-04	2011-12-04	Online (Europe)	0	133.90	Online
1131	151	ZOTAC Cup Starcraft II #86 (EU)	2011-12-11	2011-12-11	Online (Europe)	0	133.85	Online
1132	151	ZOTAC Cup Starcraft II #87 (EU)	2011-12-18	2011-12-18	Online (Europe)	0	130.49	Online
1133	151	ZOTAC Cup Starcraft II #88 (EU)	2012-01-08	2012-01-08	Online (Europe)	0	127.21	Online
1134	151	ZOTAC Cup Starcraft II #89 (EU)	2012-01-15	2012-01-15	Online (Europe)	0	126.79	Online
1135	151	ZOTAC Cup Starcraft II #90 (EU)	2012-01-22	2012-01-22	Online (Europe)	0	129.32	Online
1136	151	ZOTAC Cup Starcraft II #91 (EU)	2012-01-29	2012-01-29	Online (Europe)	0	132.21	Online
1137	151	ZOTAC Cup Starcraft II #92 (EU)	2012-02-05	2012-02-05	Online (Europe)	0	131.50	Online
1138	151	ZOTAC Cup Starcraft II #93 (EU)	2012-02-12	2012-02-12	Online (Europe)	0	131.95	Online
1139	151	ZOTAC Cup Starcraft II #1 (NA)	2011-05-14	2011-05-14	Online (North America)	0	100.00	Online
1140	151	ZOTAC Cup Starcraft II #2 (NA)	2011-05-21	2011-05-21	Online (North America)	0	100.00	Online
1141	151	ZOTAC Cup Starcraft II #3 (NA)	2011-05-28	2011-05-28	Online (North America)	0	100.00	Online
1142	151	ZOTAC Cup Starcraft II #4 (NA)	2011-05-28	2011-05-28	Online (North America)	0	100.00	Online
1143	151	ZOTAC Cup Starcraft II #5 (NA)	2011-06-11	2011-06-11	Online (North America)	0	100.00	Online
1144	151	ZOTAC Cup Starcraft II #6 (NA)	2011-06-18	2011-06-18	Online (North America)	0	100.00	Online
1145	151	ZOTAC Cup Starcraft II #7 (NA)	2011-06-25	2011-06-25	Online (North America)	0	100.00	Online
1146	151	ZOTAC Cup Starcraft II #8 (NA)	2011-07-02	2011-07-02	Online (North America)	0	100.00	Online
1147	151	ZOTAC Cup Starcraft II #9 (NA)	2011-07-09	2011-07-09	Online (North America)	0	100.00	Online
1148	151	ZOTAC Cup Starcraft II #10 (NA)	2011-07-16	2011-07-16	Online (North America)	0	100.00	Online
1149	151	ZOTAC Cup Starcraft II #11 (NA)	2011-07-23	2011-07-23	Online (North America)	0	100.00	Online
1150	151	ZOTAC Cup Starcraft II #12 (NA)	2011-07-30	2011-07-30	Online (North America)	0	100.00	Online
1151	151	ZOTAC Cup Starcraft II #13 (NA)	2011-08-06	2011-08-06	Online (North America)	0	100.00	Online
1152	151	ZOTAC Cup Starcraft II #14 (NA)	2011-08-13	2011-08-13	Online (North America)	0	100.00	Online
1153	151	ZOTAC Cup Starcraft II #15 (NA)	2011-08-20	2011-08-20	Online (North America)	0	100.00	Online
1154	151	ZOTAC Cup Starcraft II #16 (NA)	2011-08-27	2011-08-27	Online (North America)	0	100.00	Online
1155	151	ZOTAC Cup Starcraft II #17 (NA)	2011-09-03	2011-09-03	Online (North America)	0	100.00	Online
1156	151	ZOTAC Cup Starcraft II #18 (NA)	2011-09-10	2011-09-10	Online (North America)	0	100.00	Online
1157	151	ZOTAC Cup Starcraft II #19 (NA)	2011-09-17	2011-09-17	Online (North America)	0	100.00	Online
1158	151	ZOTAC Cup Starcraft II #20 (NA)	2011-09-24	2011-09-24	Online (North America)	0	100.00	Online
1159	151	ZOTAC Cup Starcraft II #21 (NA)	2011-10-01	2011-10-01	Online (North America)	0	100.00	Online
1160	151	ZOTAC Cup Starcraft II #22 (NA)	2011-10-08	2011-10-08	Online (North America)	0	100.00	Online
1161	151	ZOTAC Cup Starcraft II #23 (NA)	2011-10-15	2011-10-15	Online (North America)	0	100.00	Online
1162	151	ZOTAC Cup Starcraft II #24 (NA)	2011-10-22	2011-10-22	Online (North America)	0	100.00	Online
1163	151	ZOTAC Cup Starcraft II #25 (NA)	2011-10-29	2011-10-29	Online (North America)	0	100.00	Online
1164	151	ZOTAC Cup Starcraft II #26 (NA)	2011-11-05	2011-11-05	Online (North America)	0	100.00	Online
1165	151	ZOTAC Cup Starcraft II #27 (NA)	2011-11-12	2011-11-12	Online (North America)	0	100.00	Online
1166	151	ZOTAC Cup Starcraft II #28 (NA)	2011-11-19	2011-11-19	Online (North America)	0	100.00	Online
1167	151	ZOTAC Cup Starcraft II #29 (NA)	2011-11-26	2011-11-26	Online (North America)	0	100.00	Online
1168	151	ZOTAC Cup Starcraft II #30 (NA)	2011-12-03	2011-12-03	Online (North America)	0	100.00	Online
1169	151	ZOTAC Cup Starcraft II #31 (NA)	2011-12-10	2011-12-10	Online (North America)	0	100.00	Online
1170	151	ZOTAC Cup Starcraft II #32 (NA)	2011-12-17	2011-12-17	Online (North America)	0	100.00	Online
1171	151	ZOTAC Cup Starcraft II #33 (NA)	2012-01-07	2012-01-07	Online (North America)	0	100.00	Online
1172	151	ZOTAC Cup Starcraft II #34 (NA)	2012-01-14	2012-01-14	Online (North America)	0	100.00	Online
1173	151	ZOTAC Cup Starcraft II #35 (NA)	2012-01-21	2012-01-21	Online (North America)	0	100.00	Online
1174	151	ZOTAC Cup Starcraft II #36 (NA)	2012-01-28	2012-01-28	Online (North America)	0	100.00	Online
1175	151	ZOTAC Cup Starcraft II #37 (NA)	2012-02-04	2012-02-04	Online (North America)	0	100.00	Online
1176	151	ZOTAC Cup Starcraft II #38 (NA)	2012-02-11	2012-02-11	Online (North America)	0	100.00	Online
1177	151	Sennheiser Cup Season 1 #1	2011-02-05	2011-02-05	Online (Europe)	0	135.81	Online
1178	151	Sennheiser Cup Season 1 #2	2011-02-12	2011-02-12	Online (Europe)	0	135.48	Online
1179	151	Sennheiser Cup Season 1 #3	2011-02-19	2011-02-19	Online (Europe)	0	136.93	Online
1180	151	Sennheiser Cup Season 1 #4	2011-02-26	2011-02-26	Online (Europe)	0	137.46	Online
1181	151	Sennheiser Cup Season 1 #5	2011-03-05	2011-03-05	Online (Europe)	0	139.79	Online
1182	151	Sennheiser Cup Season 1 #6	2011-03-12	2011-03-12	Online (Europe)	0	138.99	Online
1183	151	Sennheiser Cup Season 1 #7	2011-03-19	2011-03-19	Online (Europe)	0	141.82	Online
1184	151	Sennheiser Cup Season 1 #8	2011-03-26	2011-03-26	Online (Europe)	0	140.88	Online
1185	151	Sennheiser Cup Season 1 #9	2011-04-09	2011-04-09	Online (Europe)	0	144.76	Online
1186	151	Sennheiser Cup Season 1 #10	2011-04-16	2011-04-16	Online (Europe)	0	144.29	Online
1187	151	Sennheiser Cup Season 1 #11	2011-04-23	2011-04-23	Online (Europe)	0	145.47	Online
1188	151	Sennheiser Cup Season 1 #12	2011-04-30	2011-04-30	Online (Europe)	0	148.08	Online
1189	151	Sennheiser Cup Season 1 #13	2011-05-07	2011-05-07	Online (Europe)	0	143.06	Online
1190	151	Sennheiser Cup Season 1 #14	2011-05-14	2011-05-14	Online (Europe)	0	141.19	Online
1191	151	Sennheiser Cup Season 1 #15	2011-05-21	2011-05-21	Online (Europe)	0	141.59	Online
1192	151	Sennheiser Cup Season 1 #16	2011-05-28	2011-05-28	Online (Europe)	0	143.17	Online
1193	151	Sennheiser Cup Season 1 Playoffs	2011-06-11	2011-08-20	Online / Cologne, Germany	0	4894.30	Online
1194	151	HDH Invitational #1	2010-04-21	2010-05-23	Online (North America)	0	3450.00	Online
1195	157	DreamHack Summer 2010 (Quake Live Duel)	2010-06-18	2010-06-21	Jönköping, Sweden	0	6511.80	Sweden
1196	157	DreamHack Winter 2010 (Quake Live Duel)	2010-11-25	2010-11-28	Jönköping, Sweden	0	10004.29	Sweden
1197	157	DreamHack Summer 2011 (Quake Live Duel)	2011-06-18	2011-06-21	Jönköping, Sweden	0	6290.75	Sweden
1198	157	DreamHack Winter 2011 (Quake Live Duel)	2011-11-24	2011-11-27	Jönköping, Sweden	0	7847.44	Sweden
1199	157	Dreamhack Winter 2009 (Quake Live Duel)	2009-11-26	2009-11-27	Jönköping, Sweden	0	7172.60	Sweden
1200	157	DreamHack Summer 2011 (Quake Live TDM)	2011-06-18	2011-06-21	Jönköping, Sweden	1	6290.75	Sweden
1201	157	DreamHack Winter 2011 (Quake Live TDM)	2011-11-24	2011-11-27	Jönköping, Sweden	1	8560.85	Sweden
1202	151	DreamHack Winter 2010 (StarCraft II)	2010-11-25	2010-11-28	Jönköping, Sweden	0	21437.76	Sweden
1203	151	DreamHack Stockholm Invitational	2011-04-12	2011-04-12	Stockholm, Sweden	0	15872.80	Sweden
1204	151	DreamHack Summer 2011 (StarCraft II)	2011-06-18	2011-06-21	Jönköping, Sweden	0	29566.50	Sweden
1205	151	DreamHack Summer 2011 - BYOC #2 Qualifier	2011-06-19	2011-06-19	Jönköping, Sweden	0	943.61	Sweden
1206	151	DreamHack Summer 2011 - BYOC #3 Qualifier	2011-06-20	2011-06-20	Jönköping, Sweden	0	943.61	Sweden
1207	151	DreamHack Coin Toss Tournament	2011-03-29	2011-03-29	Online (Europe)	0	1573.06	Online
1208	151	DreamHack Valencia Invitational	2011-09-17	2011-09-17	Valencia, Spain	0	15113.62	Spain
1209	151	DreamHack Winter 2011 (StarCraft II)	2011-11-24	2011-11-27	Jönköping, Sweden	0	57072.34	Sweden
1210	151	WCG 2011 (StarCraft II)	2011-12-08	2011-12-11	Busan, South Korea	0	27000.00	South Korea
1211	151	IGN Pro League Season 1	2011-04-21	2011-05-01	Online (North America)	0	5000.00	Online
1212	151	IGN Pro League Season 2	2011-07-14	2011-08-14	Online (North America)	0	50000.00	Online
1213	151	IGN Pro League Season 3 (Starcraft II)	2011-10-06	2011-10-09	Atlantic City, New Jersey, United States	0	100000.00	USA
1214	151	IGN Pro League Season 3 (Starcraft II Pool Play)	2011-10-06	2011-10-09	Atlantic City, New Jersey, United States	0	4500.00	USA
1215	158	WCG 2011 (WarCraft III)	2011-12-08	2011-12-11	Busan, South Korea	0	14000.00	South Korea
1216	158	WCG 2010 (WarCraft III)	2010-09-30	2010-10-03	Los Angeles, California, USA	0	11000.00	USA
1217	158	WCG 2009 (WarCraft III)	2009-11-11	2009-11-15	Chengdu, Sichuan, China	0	23000.00	China
1218	158	WCG 2008 (WarCraft III)	2008-11-05	2008-11-09	Cologne, Germany	0	29500.00	Germany
1219	158	WCG 2007 (WarCraft III)	2007-10-03	2007-10-07	Seattle, Washington, USA	0	33000.00	USA
1220	158	WCG 2006 (WarCraft III)	2006-10-18	2006-10-22	Monza, Italy	0	43000.00	Italy
1221	158	WCG 2005 (WarCraft III)	2005-11-16	2005-11-20	Suntec City, Singapore	0	35000.00	Singapore
1222	158	WCG 2004 (WarCraft III)	2004-10-06	2004-10-10	San Francisco, California, USA	0	40000.00	USA
1223	158	WCG 2003 (WarCraft III)	2003-10-12	2003-10-18	Seoul, South Korea	0	35000.00	South Korea
1224	158	World e-Sports Games I (WarCraft III)	2005-01-30	2005-03-20	Seoul, South Korea / Beijing, China	0	45000.00	China
1225	158	World e-Sports Games II (WarCraft III)	2005-05-29	2005-07-03	Seoul, South Korea	0	45000.00	South Korea
1226	158	World e-Sports Games III (WarCraft III)	2005-10-19	2005-12-11	Seoul, South Korea	0	43000.00	South Korea
1227	158	ESWC 2003 (WarCraft III)	2003-07-08	2003-07-13	Poitiers, France	0	20000.00	France
1228	158	ESWC 2004 (WarCraft III)	2004-07-07	2004-07-11	Poitiers, France	0	25000.00	France
1229	158	ESWC 2005 (WarCraft III)	2005-07-06	2005-07-10	Paris, France	0	40000.00	France
1230	158	ESWC 2006 (WarCraft III)	2006-06-28	2006-07-02	Paris, France	0	40000.00	France
1231	158	ESWC 2007 (WarCraft III)	2007-07-05	2007-07-08	Paris, France	0	19000.00	France
1232	158	ESWC 2008 (WarCraft III)	2008-08-25	2008-08-27	San José, California, USA	0	23000.00	USA
1233	158	ESWC 2009 Masters of Cheonan (WarCraft III)	2009-05-02	2009-05-06	Cheonan, South Korea	0	15000.00	South Korea
1234	158	ESWC 2010 (WarCraft III)	2010-06-30	2010-07-04	Paris, France	0	14000.00	France
1235	151	ESWC 2011 (StarCraft II)	2011-10-21	2011-10-25	Paris, France	0	66000.00	France
1236	152	ESWC 2009 Masters of Cheonan (SC:BW)	2009-05-02	2009-05-06	Cheonan, South Korea	0	9000.00	South Korea
1237	152	TSL 1	2008-03-31	2008-06-02	Online (North America)	0	10000.00	Online
1238	152	TSL 2	2009-11-21	2010-02-28	Online (North America)	0	22500.00	Online
1239	158	DreamHack Summer 2009 (WarCraft III)	2009-06-13	2009-06-16	Jönköping, Sweden	0	4214.94	Sweden
